ID,Location,R,D,H,complexity.D,Total_fish,P_size(cm),P_AD(m),P_AD_signal,P_FID(m),P_FID_signal,NP_size(cm),NP_AD(m),NP_AD_signal,NP_FID(m),NP_FID_signal
1,N,1.605862829,2.774697416,0.337896526,H,13,2.5,0.38,Jerking,0.51,Retreating,2.2,0.13,Move,0.28,Retreating
2,N,1.805969199,2.713280852,0.316642821,L,8,1.8,0.4,Jerking,0.64,Retreating,2,0.2,Move,0.25,Retreating
3,N,1.22506975,2.725971605,0.134909749,L,3,1.9,0.24,Jerking,0.38,Retreating,2.5,0.08,Move,0.2,Retreating
4,N,1.583680031,2.84936511,0.182661355,H,17,2.6,0.29,Jerking,0.4,Retreating,2.4,0.18,Move,0.4,Retreating
5,N,1.519255604,2.801519176,0.203828633,H,6,2.1,0.17,Jerking,0.26,Retreating,2.2,0.16,Move,0.28,Retreating
6,N,1.617220581,2.724654569,0.246320367,L,12,2.8,0.2,Jerking,0.34,Retreating,2.1,0.25,Move,0.41,Retreating
7,N,1.514706707,2.870520241,0.164578438,H,2,2.4,0.18,Jerking,0.35,Retreating,1.9,0.15,Move,0.2,Retreating
8,N,1.315913074,2.717966917,0.150710344,L,3,2.1,0.09,Jerking,0.15,Retreating,2.3,0.2,Move,0.35,Retreating
9,N,1.778797175,2.77191755,0.300357461,H,12,2.2,0.12,Jerking,0.3,Retreating,1.4,0.11,Move,0.24,Retreating
10,N,1.451281834,2.714459586,0.219688594,L,6,2.7,0.21,Jerking,0.38,Retreating,2.2,0.23,Move,0.41,Retreating
11,N,1.225606105,2.838641657,0.10744369,H,6,2.3,0.45,Jerking,0.6,Retreating,2.1,0.23,Move,0.41,Retreating
12,N,1.358439706,2.828389511,0.140862703,H,3,2.4,0.18,Jerking,0.29,Retreating,2,0.25,Move,0.4,Retreating
13,N,1.74507165,2.633751968,0.349472344,L,31,2.5,0.16,Jerking,0.35,Retreating,1.8,0.18,Move,0.38,Retreating
14,N,1.516187216,2.694327273,0.269281566,L,16,2.4,0.18,Jerking,0.26,Retreating,2.6,0.2,Move,0.36,Retreating
15,N,1.37812396,2.868966947,0.146170378,H,6,2.3,0.17,Jerking,0.28,Retreating,2.3,0.12,Move,0.1,Retreating
16,N,1.702604372,2.780434182,0.266608298,H,8,2.2,0.15,Jerking,0.2,Retreating,2,0.12,Move,0.23,Retreating
17,N,1.697464489,2.878759164,0.211854994,H,6,2.3,0.17,Jerking,0.31,Retreating,2.6,0.1,Move,0.15,Retreating
18,N,1.210807626,2.745830986,0.114584267,L,3,1.7,0.24,Jerking,0.51,Retreating,1.8,0.2,Move,0.35,Retreating
19,N,1.386951217,2.809341335,0.163541377,H,7,2.4,0.3,Jerking,0.6,Retreating,2.1,0.19,Move,0.35,Retreating
20,N,1.451969925,2.849342793,0.164970934,H,3,2.8,0.23,Jerking,0.3,Retreating,2.3,0.1,Move,0.25,Retreating
21,N,1.562465857,2.719578846,0.256506205,L,19,2.2,0.14,Jerking,0.29,Retreating,2.3,0.18,Move,0.31,Retreating
22,N,1.580175845,2.773402465,0.207284689,H,7,1.9,0.12,Jerking,0.23,Retreating,2.8,0.07,Move,0.2,Retreating
23,N,1.495311108,2.804539032,0.191222131,H,6,2.1,0.3,Bobbing,0.45,Retreating,1.9,0.19,Move,0.25,Retreating
24,N,1.486530685,2.716316309,0.245066106,L,13,2.8,0.14,Bobbing,0.25,Retreating,3.4,0.16,Move,0.25,Retreating
25,N,1.312101129,2.82288304,0.116750479,H,3,2.4,0.19,Jerking,0.3,Retreating,0.6,0.08,Move,0.12,Retreating
26,N,1.507754308,2.789207505,0.23254025,H,11,2.9,0.2,Jerking,0.28,Retreating,2.7,0.13,Move,0.29,Retreating
27,N,1.310241943,2.881266571,0.110914826,H,3,2.3,0.28,Bobbing,0.45,Retreating,1.5,0.06,Move,0.1,Retreating
28,N,1.487932536,2.784706144,0.211702347,H,14,2.6,0.16,Jerking,0.36,Retreating,2.2,0.08,Move,0.19,Retreating
29,N,1.442977437,2.827966404,0.159659505,H,4,2.3,0.12,Jerking,0.28,Retreating,2.4,0.16,Move,0.28,Retreating
30,N,1.351669401,2.886101284,0.120541811,H,2,2.6,0.16,Jerking,0.29,Retreating,2.4,0.19,Move,0.25,Retreating
31,N,1.161235,2.778406,0.1044866,L,3,1.3,0.1,Jerking,0.4,Retreating,2.1,0.14,Move,0.31,Retreating
10,S,1.23661456,2.710343588,0.155346394,L,2,2.8,0.3,Bobbing,0.48,Retreating,2.3,0.1,Move,0.2,Retreating
13,S,1.262586096,2.653365302,0.207149267,L,4,2.4,0.21,Bobbing,0.48,Retreating,2.3,0.09,Move,0.19,Retreating
17,S,1.151030518,2.671698164,0.128220737,L,2,2.4,0.21,Jerking,0.36,Retreating,2.1,0.09,Move,0.14,Retreating
34,S,1.233051318,2.939127972,0.079997301,H,2,1.4,0.2,Jerking,0.26,Retreating,2,0.13,Move,0.24,Retreating
