ID,Location,area,perimeter
1,S,1.812057063,10.98793757
2,S,0.317529646,3.515836829
3,S,0.256103497,3.144375767
4,S,0.30691081,5.286612246
5,S,0.08323389,1.98413492
6,S,0.124171406,2.282556431
7,S,0.04163371,0.961397892
8,S,0.293332307,4.149227982
9,S,0.920396236,4.890027577
10,S,0.081603604,1.803630197
11,S,0.099941679,1.927413746
12,S,0.098065108,2.107688917
13,S,0.115180119,2.192382975
14,S,0.026242387,0.873592784
15,S,0.018468414,0.71090155
16,S,0.029185142,0.76461666
17,S,0.065685353,1.415059268
18,S,0.047816736,1.075865114
19,S,0.053965208,1.102475886
20,S,0.094880103,1.727133929
21,S,0.048326201,1.190075871
22,S,0.057622113,0.972535435
23,S,0.042871953,0.900922783
24,S,0.066788866,1.964673686
25,S,0.031257577,0.822700265
26,S,0.038522242,0.838906327
27,S,0.024228782,0.760905573
28,S,0.151543926,2.348248795
29,S,0.033501146,0.992282052
30,S,0.899307992,6.186666133
31,S,0.144042051,2.51096527
32,S,0.028616453,0.764974072
33,S,0.024710368,0.694887547
34,S,0.019039544,0.754197333
35,S,0.017149978,0.573850187
36,S,0.04394491,0.9292816
